type	id	source	disposition	target	notes
planr-consumer	planr-005	src/app/agents.rs	keep	Planr Goal B	Planr graph/agent profile integration remains Planr-owned.
planr-consumer	planr-006	src/app/agents_init.rs	keep	Planr Goal B	Planr initialization remains Planr-owned.
planr-consumer	planr-007	src/app/policy.rs	keep	Planr Goal B	Planr execution policy stays Planr-owned.
planr-consumer	planr-008	src/execution_policy.rs	keep	Planr Goal B	Planr execution constraints stay Planr-owned.
planr-consumer	planr-009	src/usage_policy.rs	keep	Planr Goal B	Planr usage constraints stay Planr-owned.
planr-consumer	planr-010	src/agents.rs	keep	Planr Goal B	Planr agent registry behavior stays Planr-owned.
planr-consumer	planr-011	src/agents/tests.rs	keep	Planr Goal B	Planr agent registry tests stay Planr-owned.
planr-consumer	planr-012	tests/routing_ownership.rs	replace	Planr Goal B	Replace with hard-cut deletion oracle after standalone release.
planr-consumer	planr-013	plugins/planr/agents/planr-reviewer.md	keep	Planr plugin	Planr plugin reviewer role stays Planr-owned.
planr-consumer	planr-014	plugins/planr/agents/planr-worker.md	keep	Planr plugin	Planr plugin worker role stays Planr-owned.
planr-consumer	planr-015	plugins/planr/skills/planr-loop/agents/planr-reviewer.md	keep	Planr plugin	Planr loop reviewer role stays Planr-owned.
planr-consumer	planr-016	plugins/planr/skills/planr-loop/agents/planr-worker.md	keep	Planr plugin	Planr loop worker role stays Planr-owned.
cli-command	cmd-001	planr-routing policy list	move-generalize	model-routing policy list	List official policies.
cli-command	cmd-002	planr-routing policy show <policy> --host <host>	move-generalize	model-routing policy show <policy> --host <host>	Show one policy.
cli-command	cmd-003	planr-routing compile <policy> --host <host>	move-generalize	model-routing compile <policy> --host <host>	Compile bundle JSON.
cli-command	cmd-004	planr-routing probe <host>	move-generalize	model-routing probe <host>	Probe host capabilities.
cli-command	cmd-005	planr-routing evaluate <policy> --host <host>	move-generalize	model-routing evaluate <policy> --host <host>	Evaluate recommendation evidence.
cli-command	cmd-006	planr-routing catalog build	move-generalize	model-routing catalog build	Build catalog JSON.
cli-command	cmd-007	planr-routing catalog verify <file>	move-generalize	model-routing catalog verify <file>	Verify catalog JSON.
cli-command	cmd-008	planr-routing registry sign <file> --signer <id> --private-key-file <path> --output <path>	move-generalize	model-routing registry sign <file> --signer <id> --private-key-file <path> --output <path>	Sign registry metadata.
cli-command	cmd-009	planr-routing registry verify <file> --signature <path> --trusted-signer <id> --trusted-public-key-file <path>	move-generalize	model-routing registry verify <file> --signature <path> --trusted-signer <id> --trusted-public-key-file <path>	Verify registry signature.
generated-artifact	art-001	.planr/agents.toml	move-generalize	.planr/agents.toml	Optional Planr integration declaration only.
generated-artifact	art-002	.planr/policy.toml	move-generalize	.planr/policy.toml	Optional Planr integration policy only.
generated-artifact	art-003	.codex/agents/planr-worker.toml	move-generalize	.codex/agents/model-routing-worker.toml	Host-native Codex worker role artifact.
generated-artifact	art-004	.codex/agents/planr-reviewer.toml	move-generalize	.codex/agents/model-routing-reviewer.toml	Host-native Codex reviewer role artifact.
generated-artifact	art-005	.claude/agents/planr-worker.md	move-generalize	.claude/agents/model-routing-worker.md	Host-native Claude worker role artifact.
generated-artifact	art-006	.claude/agents/planr-reviewer.md	move-generalize	.claude/agents/model-routing-reviewer.md	Host-native Claude reviewer role artifact.
generated-artifact	art-007	.cursor/agents/planr-worker.md	move-generalize	.cursor/agents/model-routing-worker.md	Host-native Cursor worker role artifact.
generated-artifact	art-008	.cursor/agents/planr-reviewer.md	move-generalize	.cursor/agents/model-routing-reviewer.md	Host-native Cursor reviewer role artifact.
